LAMMPS (4 Feb 2025 - Development - patch_4Feb2025-554-g465171d58f)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
=== HEATING PHASE ===
Rate = 1 K/ps
Duration = 2006 ps = 20060000 steps
Reading restart file ...
  restart file = 4 Feb 2025, LAMMPS = 4 Feb 2025
  restoring atom style charge from restart
  orthogonal box = (-6.9917407 -6.9917407 -3.4958703) to (56.991741 56.991741 28.49587)
  2 by 2 by 2 MPI processor grid
  pair style reaxff stores no restart info
  420 atoms
  read_restart CPU = 0.003 seconds
Reading potential file ffield.reax.cho with DATE: 2011-02-18
=== STARTING HEATING ===

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: No fixes with time integration, atoms won't move
For more information see https://docs.lammps.org/err0028 (src/verlet.cpp:60)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 11 11 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reax, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 20001
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 11.15 | 11.82 | 12.61 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
    223000   311.18833     -40694.966      388.66159     -40306.305      79.867059      130970.54    
    224000   311.18833     -40694.963      388.66159     -40306.301      79.711768      130970.54    
    225000   311.18833     -40694.963      388.66159     -40306.302      79.789009      130970.54    
    226000   311.18833     -40694.965      388.66159     -40306.304      79.813229      130970.54    
    227000   311.18833     -40694.964      388.66159     -40306.302      79.913147      130970.54    
    228000   311.18833     -40694.968      388.66159     -40306.307      79.755607      130970.54    
    229000   311.18833     -40694.968      388.66159     -40306.306      79.850756      130970.54    
    230000   311.18833     -40694.967      388.66159     -40306.306      79.851251      130970.54    
    231000   311.18833     -40694.969      388.66159     -40306.307      79.756141      130970.54    
    232000   311.18833     -40694.967      388.66159     -40306.305      79.813798      130970.54    
    233000   311.18833     -40694.967      388.66159     -40306.306      79.851915      130970.54    
    234000   311.18833     -40694.968      388.66159     -40306.306      79.82618       130970.54    
    235000   311.18833     -40694.968      388.66159     -40306.307      79.758174      130970.54    
    236000   311.18833     -40694.968      388.66159     -40306.306      79.816801      130970.54    
    237000   311.18833     -40694.962      388.66159     -40306.3        79.97019       130970.54    
    238000   311.18833     -40694.966      388.66159     -40306.305      79.842993      130970.54    
    239000   311.18833     -40694.963      388.66159     -40306.302      79.891307      130970.54    
    240000   311.18833     -40694.966      388.66159     -40306.304      79.829326      130970.54    
    241000   311.18833     -40694.967      388.66159     -40306.306      79.805887      130970.54    
    242000   311.18833     -40694.967      388.66159     -40306.306      79.862883      130970.54    
    243000   311.18833     -40694.967      388.66159     -40306.306      79.851354      130970.54    
    244000   311.18833     -40694.97       388.66159     -40306.308      79.805309      130970.54    
    245000   311.18833     -40694.964      388.66159     -40306.303      79.870366      130970.54    
    246000   311.18833     -40694.969      388.66159     -40306.308      79.81129       130970.54    
    247000   311.18833     -40694.963      388.66159     -40306.302      79.868702      130970.54    
    248000   311.18833     -40694.965      388.66159     -40306.304      79.813603      130970.54    
    249000   311.18833     -40694.969      388.66159     -40306.307      79.853266      130970.54    
    250000   311.18833     -40694.967      388.66159     -40306.305      79.8989        130970.54    
    251000   311.18833     -40694.968      388.66159     -40306.306      79.794011      130970.54    
    252000   311.18833     -40694.967      388.66159     -40306.305      79.855598      130970.54    
    253000   311.18833     -40694.968      388.66159     -40306.306      79.842165      130970.54    
    254000   311.18833     -40694.97       388.66159     -40306.308      79.759027      130970.54    
    255000   311.18833     -40694.963      388.66159     -40306.301      79.862099      130970.54    
    256000   311.18833     -40694.967      388.66159     -40306.305      79.770919      130970.54    
    257000   311.18833     -40694.969      388.66159     -40306.308      79.792505      130970.54    
    258000   311.18833     -40694.966      388.66159     -40306.305      79.879923      130970.54    
    259000   311.18833     -40694.965      388.66159     -40306.304      79.842625      130970.54    
    260000   311.18833     -40694.966      388.66159     -40306.304      79.861385      130970.54    
    261000   311.18833     -40694.97       388.66159     -40306.308      79.784666      130970.54    
    262000   311.18833     -40694.965      388.66159     -40306.303      79.91246       130970.54    
    263000   311.18833     -40694.967      388.66159     -40306.305      79.858667      130970.54    
    264000   311.18833     -40694.965      388.66159     -40306.304      79.792685      130970.54    
    265000   311.18833     -40694.967      388.66159     -40306.305      79.868107      130970.54    
    266000   311.18833     -40694.967      388.66159     -40306.306      79.850737      130970.54    
    267000   311.18833     -40694.965      388.66159     -40306.304      79.798714      130970.54    
    268000   311.18833     -40694.965      388.66159     -40306.303      79.82373       130970.54    
    269000   311.18833     -40694.968      388.66159     -40306.307      79.737326      130970.54    
    270000   311.18833     -40694.963      388.66159     -40306.302      79.820953      130970.54    
    271000   311.18833     -40694.966      388.66159     -40306.305      79.852349      130970.54    
    272000   311.18833     -40694.968      388.66159     -40306.307      79.825146      130970.54    
    273000   311.18833     -40694.969      388.66159     -40306.307      79.821218      130970.54    
    274000   311.18833     -40694.963      388.66159     -40306.302      79.901763      130970.54    
    275000   311.18833     -40694.966      388.66159     -40306.304      79.847065      130970.54    
    276000   311.18833     -40694.967      388.66159     -40306.305      79.849643      130970.54    
    277000   311.18833     -40694.964      388.66159     -40306.303      79.894334      130970.54    
    278000   311.18833     -40694.967      388.66159     -40306.305      79.895818      130970.54    
    279000   311.18833     -40694.965      388.66159     -40306.304      79.905957      130970.54    
    280000   311.18833     -40694.966      388.66159     -40306.304      79.814863      130970.54    
    281000   311.18833     -40694.97       388.66159     -40306.308      79.785923      130970.54    
    282000   311.18833     -40694.968      388.66159     -40306.306      79.803458      130970.54    
    283000   311.18833     -40694.961      388.66159     -40306.299      79.782267      130970.54    
    284000   311.18833     -40694.966      388.66159     -40306.304      79.832834      130970.54    
    285000   311.18833     -40694.967      388.66159     -40306.305      79.765918      130970.54    
    286000   311.18833     -40694.969      388.66159     -40306.308      79.834509      130970.54    
    287000   311.18833     -40694.967      388.66159     -40306.306      79.896193      130970.54    
    288000   311.18833     -40694.969      388.66159     -40306.307      79.876959      130970.54    
    289000   311.18833     -40694.964      388.66159     -40306.303      79.91301       130970.54    
    290000   311.18833     -40694.968      388.66159     -40306.306      79.864662      130970.54    
    291000   311.18833     -40694.965      388.66159     -40306.304      79.861038      130970.54    
