ITEM: TIMESTEP
26000
ITEM: NUMBER OF ATOMS
2835
ITEM: BOX BOUNDS pp pp pp
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
ITEM: ATOMS id type x y z q
488 1 27.5139 32.9186 14.3453 0.141397
485 2 28.0289 32.3413 15.094 -0.270033
486 1 27.3176 31.6501 15.5041 0.108726
484 1 29.0826 30.8333 13.8472 0.0720484
520 3 30.811 33.8818 11.6904 -0.132799
521 3 29.6425 33.7159 11.2286 -0.107834
481 1 31.06 32.4695 13.5875 0.162616
476 2 30.4488 31.2854 15.5688 -0.130095
482 2 29.2905 31.6109 14.643 0.0136477
479 2 30.4965 32.4955 14.5371 -0.16322
480 1 30.4691 33.5047 15.0142 0.133896
478 1 30.2425 31.4761 16.6265 0.0710773
487 1 28.268 33.0858 15.8768 0.1378
460 1 46.8144 35.5133 15.1566 0.0625098
567 2 47.372 35.2133 13.0369 -0.102231
569 1 47.96 34.3816 12.9981 0.089717
568 1 47.5292 35.8524 11.4124 0.0276085
575 1 47.7504 35.6749 10.5963 0.0278405
562 1 49.2874 37.0383 13.9344 0.151239
560 2 48.7819 36.4935 14.7193 -0.253454
561 1 49.4463 35.6511 15.021 0.0998362
563 1 48.6885 37.1865 15.5793 0.147983
564 2 47.2944 36.0663 14.2711 -0.0851056
566 1 46.6451 36.9128 14.0416 0.0816578
580 1 65.5839 33.0359 16.0917 0.174332
579 1 66.0557 34.8151 15.656 0.0683975
578 1 67.2 34.639 16.4321 0.0671253
582 1 66.0377 32.6258 13.2465 0.0939072
581 2 66.092 33.3271 14.0546 -0.0470292
577 2 65.9428 33.7311 15.3287 -0.148864
357 2 76.3267 35.4217 16.206 -0.0883121
360 2 76.1882 36.6688 15.3872 -0.162776
363 2 77.7362 35.5531 16.9811 -0.260734
572 1 76.9749 37.3671 15.1963 0.168215
359 1 76.2657 34.5026 15.5924 0.102911
361 1 75.235 36.958 14.9889 0.123877
161 2 39.3746 3.22299 23.5084 -0.0956654
162 1 39.247 3.11576 22.4166 0.0569447
163 1 38.4709 3.69556 23.9413 0.112474
160 1 38.7419 1.09559 23.8858 0.095357
911 1 55.5848 3.24238 20.3297 0.0922837
